Start Time	End Time	Time Added	Device Screen Status
2022-01-31 05:43:04+00:00	2022-01-31 05:43:16+00:00	2022-01-31 05:43:18+00:00	Backlight on
2022-01-31 05:43:16+00:00	2022-01-31 19:01:04+00:00	2022-01-31 19:01:05+00:00	Backlight off
2022-01-31 19:01:04+00:00	2022-01-31 19:01:12+00:00	2022-01-31 19:01:15+00:00	Backlight on
2022-01-31 19:01:12+00:00	2022-01-31 19:03:04+00:00	2022-01-31 19:03:05+00:00	Backlight off
2022-01-31 19:03:04+00:00	2022-01-31 19:03:12+00:00	2022-01-31 19:03:15+00:00	Backlight on
2022-01-31 19:03:12+00:00	2022-01-31 22:20:04+00:00	2022-01-31 22:20:04+00:00	Backlight off
2022-01-31 22:20:04+00:00	2022-01-31 22:20:12+00:00	2022-01-31 22:20:14+00:00	Backlight on
2022-01-31 22:20:12+00:00	2022-02-01 23:55:52+00:00	2022-02-01 23:55:55+00:00	Backlight off
2022-02-01 23:55:52+00:00	2022-02-01 23:56:12+00:00	2022-02-01 23:56:13+00:00	Backlight on
2022-02-01 23:56:12+00:00	2022-02-01 23:56:40+00:00	2022-02-01 23:56:42+00:00	Backlight off
2022-02-01 23:56:40+00:00	2022-02-01 23:56:52+00:00	2022-02-01 23:56:52+00:00	Backlight on
2022-02-01 23:56:52+00:00	2022-02-02 00:00:04+00:00	2022-02-02 00:00:07+00:00	Backlight off
2022-02-02 00:00:04+00:00	2022-02-02 00:00:08+00:00	2022-02-02 00:00:09+00:00	Backlight on
2022-02-02 00:00:08+00:00	2022-02-02 00:00:08+00:00	2022-02-02 00:00:10+00:00	Backlight off
2022-02-02 00:00:08+00:00	2022-02-02 00:00:28+00:00	2022-02-02 00:00:29+00:00	Backlight on
2022-02-02 00:00:28+00:00	2022-02-02 00:00:48+00:00	2022-02-02 00:00:48+00:00	Backlight off
2022-02-02 00:00:48+00:00	2022-02-02 00:04:28+00:00	2022-02-02 00:04:28+00:00	Backlight on
2022-02-02 00:04:28+00:00	2022-02-02 01:14:16+00:00	2022-02-02 01:14:19+00:00	Backlight off
2022-02-02 01:14:16+00:00	2022-02-02 01:14:44+00:00	2022-02-02 01:14:44+00:00	Backlight on
2022-02-02 01:14:44+00:00	2022-02-02 01:18:48+00:00	2022-02-02 01:18:50+00:00	Backlight off
2022-02-02 01:18:48+00:00	2022-02-02 01:18:52+00:00	2022-02-02 01:18:54+00:00	Backlight on
2022-02-02 01:18:52+00:00	2022-02-02 01:18:52+00:00	2022-02-02 01:18:54+00:00	Backlight off
2022-02-02 01:18:52+00:00	2022-02-02 01:18:56+00:00	2022-02-02 01:18:56+00:00	Backlight on
2022-02-02 01:18:56+00:00	2022-02-02 01:18:56+00:00	2022-02-02 01:18:58+00:00	Backlight off
2022-02-02 01:18:56+00:00	2022-02-02 01:19:00+00:00	2022-02-02 01:19:02+00:00	Backlight on
