Start Time	End Time	Playing State	Playing Duration	App Bundle ID	Artist	Album	Title	Genre	Media Duration	AirPlay Video	Output Device	Time Added
2022-02-06 04:47:04+00:00	2022-02-06 04:47:26+00:00	Play	00:00:22	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +83 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:47:26+00:00
2022-02-06 04:47:26+00:00	2022-02-06 04:47:53+00:00	Play	00:00:27	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +82 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:47:53+00:00
2022-02-06 04:47:53+00:00	2022-02-06 04:47:53+00:00	Pause	00:00:00	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +82 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:47:53+00:00
2022-02-06 04:47:53+00:00	2022-02-06 04:47:53+00:00	Play	00:00:00	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +82 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:47:53+00:00
2022-02-06 04:47:53+00:00	2022-02-06 04:47:54+00:00	Play	00:00:01	com.atebits.Tweetie2						No	Speaker	2022-02-06 04:47:54+00:00
2022-02-06 04:47:54+00:00	2022-02-06 04:48:01+00:00	Play	00:00:07	com.atebits.Tweetie2	Athenian Stranger (anonx) ⚔️, Byronically, 4G⭐⭐ +50 others		Philosophy (short space)			No	Speaker	2022-02-06 04:48:01+00:00
2022-02-06 04:48:01+00:00	2022-02-06 04:48:08+00:00	Play	00:00:07	com.atebits.Tweetie2	Athenian Stranger (anonx) ⚔️, Byronically, 4G⭐⭐ +51 others		Philosophy (short space)			No	Speaker	2022-02-06 04:48:08+00:00
2022-02-06 04:48:08+00:00	2022-02-06 04:48:30+00:00	Play	00:00:22	com.atebits.Tweetie2	Athenian Stranger (anonx) ⚔️, Byronically, 4G⭐⭐ +52 others		Philosophy (short space)			No	Speaker	2022-02-06 04:48:30+00:00
2022-02-06 04:48:30+00:00	2022-02-06 04:48:44+00:00	Play	00:00:14	com.atebits.Tweetie2	Athenian Stranger (anonx) ⚔️, Byronically, 4G⭐⭐ +53 others		Philosophy (short space)			No	Speaker	2022-02-06 04:48:44+00:00
2022-02-06 04:48:44+00:00	2022-02-06 04:48:51+00:00	Play	00:00:07	com.atebits.Tweetie2	Athenian Stranger (anonx) ⚔️, Byronically, 4G⭐⭐ +52 others		Philosophy (short space)			No	Speaker	2022-02-06 04:48:51+00:00
2022-02-06 04:48:51+00:00	2022-02-06 04:48:58+00:00	Play	00:00:07	com.atebits.Tweetie2	Athenian Stranger (anonx) ⚔️, Byronically, 4G⭐⭐ +51 others		Philosophy (short space)			No	Speaker	2022-02-06 04:48:58+00:00
2022-02-06 04:48:58+00:00	2022-02-06 04:49:06+00:00	Play	00:00:08	com.atebits.Tweetie2	Athenian Stranger (anonx) ⚔️, Byronically, 4G⭐⭐ +50 others		Philosophy (short space)			No	Speaker	2022-02-06 04:49:06+00:00
2022-02-06 04:49:06+00:00	2022-02-06 04:49:20+00:00	Play	00:00:14	com.atebits.Tweetie2	Athenian Stranger (anonx) ⚔️, Byronically, 4G⭐⭐ +53 others		Philosophy (short space)			No	Speaker	2022-02-06 04:49:20+00:00
2022-02-06 04:49:20+00:00	2022-02-06 04:49:27+00:00	Play	00:00:07	com.atebits.Tweetie2	Athenian Stranger (anonx) ⚔️, Byronically, 4G⭐⭐ +52 others		Philosophy (short space)			No	Speaker	2022-02-06 04:49:27+00:00
2022-02-06 04:49:27+00:00	2022-02-06 04:49:34+00:00	Play	00:00:07	com.atebits.Tweetie2	Athenian Stranger (anonx) ⚔️, Byronically, 4G⭐⭐ +51 others		Philosophy (short space)			No	Speaker	2022-02-06 04:49:35+00:00
2022-02-06 04:49:34+00:00	2022-02-06 04:49:41+00:00	Play	00:00:07	com.atebits.Tweetie2	Athenian Stranger (anonx) ⚔️, Byronically, 4G⭐⭐ +50 others		Philosophy (short space)			No	Speaker	2022-02-06 04:49:41+00:00
2022-02-06 04:49:41+00:00	2022-02-06 04:49:48+00:00	Play	00:00:07	com.atebits.Tweetie2	Athenian Stranger (anonx) ⚔️, Byronically, 4G⭐⭐ +51 others		Philosophy (short space)			No	Speaker	2022-02-06 04:49:48+00:00
