Start Time	End Time	Battery Percentage	Is Fully Charged?	Time Added
2022-01-21 22:26:56+00:00	2022-01-21 22:27:36+00:00	65	No	2022-01-21 22:27:37+00:00
2022-01-21 22:27:36+00:00	2022-01-22 02:04:24+00:00	66	No	2022-01-22 02:04:26+00:00
2022-01-22 02:04:24+00:00	2022-01-22 03:25:08+00:00	65	No	2022-01-22 03:25:09+00:00
2022-01-22 03:25:08+00:00	2022-01-22 04:31:52+00:00	64	No	2022-01-22 04:31:54+00:00
2022-01-22 04:31:52+00:00	2022-01-22 06:23:44+00:00	63	No	2022-01-22 06:23:47+00:00
2022-01-22 06:23:44+00:00	2022-01-22 07:53:52+00:00	62	No	2022-01-22 07:53:54+00:00
2022-01-22 07:53:52+00:00	2022-01-22 09:24:16+00:00	61	No	2022-01-22 09:24:19+00:00
2022-01-22 09:24:16+00:00	2022-01-22 10:06:52+00:00	60	No	2022-01-22 10:06:53+00:00
2022-01-22 10:06:52+00:00	2022-01-22 11:30:52+00:00	59	No	2022-01-22 11:30:55+00:00
2022-01-22 11:30:52+00:00	2022-01-22 12:30:04+00:00	58	No	2022-01-22 12:30:06+00:00
2022-01-22 12:30:04+00:00	2022-01-22 13:51:08+00:00	57	No	2022-01-22 13:51:10+00:00
2022-01-22 13:51:08+00:00	2022-01-22 15:15:44+00:00	56	No	2022-01-22 15:15:45+00:00
2022-01-22 15:15:44+00:00	2022-01-22 17:11:28+00:00	55	No	2022-01-22 17:11:29+00:00
2022-01-22 17:11:28+00:00	2022-01-22 19:03:24+00:00	54	No	2022-01-22 19:03:27+00:00
2022-01-22 19:03:24+00:00	2022-01-22 20:55:32+00:00	53	No	2022-01-22 20:55:33+00:00
2022-01-22 20:55:32+00:00	2022-01-22 22:03:24+00:00	52	No	2022-01-22 22:03:26+00:00
2022-01-22 22:03:24+00:00	2022-01-22 23:45:48+00:00	51	No	2022-01-22 23:45:51+00:00
2022-01-22 23:45:48+00:00	2022-01-23 00:42:12+00:00	50	No	2022-01-23 00:42:14+00:00
2022-01-23 00:42:12+00:00	2022-01-23 02:29:56+00:00	49	No	2022-01-23 02:29:59+00:00
2022-01-23 02:29:56+00:00	2022-01-23 04:02:28+00:00	48	No	2022-01-23 04:02:30+00:00
2022-01-23 04:02:28+00:00	2022-01-23 05:47:48+00:00	47	No	2022-01-23 05:47:49+00:00
2022-01-23 05:47:48+00:00	2022-01-23 07:03:32+00:00	46	No	2022-01-23 07:03:35+00:00
2022-01-23 07:03:32+00:00	2022-01-23 08:37:52+00:00	45	No	2022-01-23 08:37:52+00:00
2022-01-23 08:37:52+00:00	2022-01-23 09:50:56+00:00	44	No	2022-01-23 09:50:57+00:00
2022-01-23 09:50:56+00:00	2022-01-23 12:07:20+00:00	43	No	2022-01-23 12:07:20+00:00
2022-01-23 12:07:20+00:00	2022-01-23 12:59:00+00:00	42	No	2022-01-23 12:59:00+00:00
2022-01-23 12:59:00+00:00	2022-01-23 14:29:28+00:00	41	No	2022-01-23 14:29:30+00:00
2022-01-23 14:29:28+00:00	2022-01-23 16:11:00+00:00	40	No	2022-01-23 16:11:03+00:00
2022-01-23 16:11:00+00:00	2022-01-23 17:30:08+00:00	39	No	2022-01-23 17:30:09+00:00
